tag,classification_id,name,category_id,admin_id,client_id,user_id,manufacturer_id,model_id,supplier_id,status_id,location_id,purchase_date,WARRANTY_MONTHS,SERIAL,NOTES,CUSTOMFIELDS,QRVALUE
tik-519,2,NEC Projector(VE303XG),12,1,1,3,1,NEC Projector(VE303XG),1,2,1,2016-12-22,12,tik-519,,,
tik-520,2,LCD Projektor,12,1,1,3,1,LCD Projektor,1,2,1,2016-12-22,12,tik-520,,,
tik-521,2,LCD Projektor,12,1,1,3,1,LCD Projektor,1,2,1,2016-12-22,12,tik-521,,,
tik-522,2,LCD Projektor,12,1,1,3,1,LCD Projektor,1,2,1,2016-12-22,12,tik-522,,,
tik-523,2,LCD Projektor,12,1,1,3,1,LCD Projektor,1,2,1,2016-12-22,12,tik-523,,,
tik-524,2,LCD Projektor,12,1,1,3,1,LCD Projektor,1,2,1,2016-12-22,12,tik-524,,,
tik-525,2,LCD Projektor,12,1,1,3,1,LCD Projektor,1,2,1,2016-12-22,12,tik-525,,,
tik-526,2,LCD Projektor,12,1,1,3,1,LCD Projektor,1,2,1,2016-12-22,12,tik-526,,,
tik-527,2,Proyektor / Hibah Dispar,12,1,1,3,1,Proyektor / Hibah Dispar,1,2,1,2019-10-31,12,tik-527,,,
tik-528,2,Proyektor / Hibah Dispar,12,1,1,3,1,Proyektor / Hibah Dispar,1,2,1,2019-10-31,12,tik-528,,,
tik-529,2,"PROJECTOR, DLP TEKNOLOGI (REKTORAT)",12,1,1,3,1,"PROJECTOR, DLP TEKNOLOGI (REKTORAT)",1,2,1,2019-12-31,12,tik-529,,,
tik-530,2,"Projector Ultra Short Throw,MERK EPSON TYPE EB-680",12,1,1,3,1,"Projector Ultra Short Throw,MERK EPSON TYPE EB-680",1,2,1,2021-12-31,12,tik-530,,,
tik-531,2,"Projector Ultra Short Throw,MERK EPSON TYPE EB-680",12,1,1,3,1,"Projector Ultra Short Throw,MERK EPSON TYPE EB-680",1,2,1,2021-12-31,12,tik-531,,,
tik-532,2,"Projector Ultra Short Throw,MERK EPSON TYPE EB-680",12,1,1,3,1,"Projector Ultra Short Throw,MERK EPSON TYPE EB-680",1,2,1,2021-12-31,12,tik-532,,,
tik-533,2,PROJECTOR MERK DELL/ HIBAH STED,12,1,1,3,1,PROJECTOR MERK DELL/ HIBAH STED,1,2,1,2023-12-29,12,tik-533,,,
tik-534,2,PROJECTOR MERK DELL/ HIBAH STED,12,1,1,3,1,PROJECTOR MERK DELL/ HIBAH STED,1,2,1,2023-12-29,12,tik-534,,,
tik-535,2,Layar Projektor,1,1,1,3,1,Layar Projektor,1,2,1,2016-12-22,12,tik-535,,,
tik-536,2,Layar Projektor,1,1,1,3,1,Layar Projektor,1,2,1,2016-12-22,12,tik-536,,,
tik-537,2,Layar Projektor,1,1,1,3,1,Layar Projektor,1,2,1,2016-12-22,12,tik-537,,,
tik-538,2,Layar Projektor,1,1,1,3,1,Layar Projektor,1,2,1,2016-12-22,12,tik-538,,,
tik-539,2,Layar Projektor,1,1,1,3,1,Layar Projektor,1,2,1,2016-12-22,12,tik-539,,,
tik-540,2,Layar Projektor,1,1,1,3,1,Layar Projektor,1,2,1,2016-12-22,12,tik-540,,,
tik-541,2,Layar Projektor,1,1,1,3,1,Layar Projektor,1,2,1,2016-12-22,12,tik-541,,,
tik-542,2,Screenview Layar LCD (MWSMV2424L),1,1,1,3,1,Screenview Layar LCD (MWSMV2424L),1,2,1,2016-12-22,12,tik-542,,,
tik-543,2,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,1,1,3,1,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,2,1,2017-12-20,12,tik-543,,,
tik-544,2,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,1,1,3,1,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,2,1,2017-12-20,12,tik-544,,,
tik-545,2,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,1,1,3,1,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,2,1,2017-12-20,12,tik-545,,,
tik-546,2,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,1,1,3,1,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,2,1,2017-12-20,12,tik-546,,,
tik-547,2,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,1,1,3,1,"Tripod Screen 70"" Uk.1768x178 Merk Focus",1,2,1,2017-12-20,12,tik-547,,,
tik-548,2,LAYAR PROYEKTOR / HIBAH DISPAR,1,1,1,3,1,LAYAR PROYEKTOR / HIBAH DISPAR,1,2,1,2019-10-31,12,tik-548,,,
tik-549,2,LAYAR PROYEKTOR / HIBAH DISPAR,1,1,1,3,1,LAYAR PROYEKTOR / HIBAH DISPAR,1,2,1,2019-10-31,12,tik-549,,,
tik-550,2,SCREEN PROJECTOR 244X244 CM,1,1,1,3,1,SCREEN PROJECTOR 244X244 CM,1,2,1,2019-12-31,12,tik-550,,,
tik-551,2,Mesin Finger Print/Alat Sidik Jari,31,1,1,3,1,Mesin Finger Print/Alat Sidik Jari,1,2,1,2016-12-27,12,tik-551,,,
tik-552,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-552,,,
tik-553,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-553,,,
tik-554,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-554,,,
tik-555,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-555,,,
tik-556,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-556,,,
tik-557,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-557,,,
tik-558,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-558,,,
tik-559,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-559,,,
tik-560,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-560,,,
tik-561,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-561,,,
tik-562,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-562,,,
tik-563,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-563,,,
tik-564,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-564,,,
tik-565,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-565,,,
tik-566,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-566,,,
tik-567,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-567,,,
tik-568,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-568,,,
tik-569,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-569,,,
tik-570,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-570,,,
tik-571,2,Finger Print Revo D-152NB,31,1,1,3,1,Finger Print Revo D-152NB,1,2,1,2017-12-31,12,tik-571,,,
tik-572,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-572,,,
tik-573,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-573,,,
tik-574,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-574,,,
tik-575,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-575,,,
tik-576,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-576,,,
tik-577,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-577,,,
tik-578,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-578,,,
tik-579,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-579,,,
tik-580,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-580,,,
tik-581,2,Finger Print Revo D 152 NB,31,1,1,3,1,Finger Print Revo D 152 NB,1,2,1,2018-02-21,12,tik-581,,,
tik-582,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-582,,,
tik-583,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-583,,,
tik-584,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-584,,,
tik-585,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-585,,,
tik-586,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-586,,,
tik-587,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-587,,,
tik-588,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-588,,,
tik-589,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-589,,,
tik-590,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-590,,,
tik-591,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-591,,,
tik-592,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-592,,,
tik-593,2,Mesin Finger Print REVO 185-BNC,31,1,1,3,1,Mesin Finger Print REVO 185-BNC,1,2,1,2020-03-13,12,tik-593,,,
tik-594,2,Power Supply Camera CCTV,1,1,1,3,1,Power Supply Camera CCTV,1,2,1,2017-12-15,12,tik-594,,,
tik-595,2,Power Supply Camera CCTV,1,1,1,3,1,Power Supply Camera CCTV,1,2,1,2017-12-15,12,tik-595,,,
tik-596,2,SONY FDR-AX700 4K CAMCORDER,32,1,1,3,1,SONY FDR-AX700 4K CAMCORDER,1,2,1,2020-12-18,12,tik-596,,,
tik-597,2,Logitech Group Plus Mic Expansion (Kamera Zoom),32,1,1,3,1,Logitech Group Plus Mic Expansion (Kamera Zoom),1,2,1,2021-09-22,12,tik-597,,,
tik-598,2,SONY 4K HDR CAMCORDER FDR- AX700 / Humas,32,1,1,3,1,SONY 4K HDR CAMCORDER FDR- AX700 / Humas,1,2,1,2024-11-25,12,tik-598,,,
tik-599,2,Digital Video Recorder 16 Channerl CCTV,1,1,1,3,1,Digital Video Recorder 16 Channerl CCTV,1,2,1,2017-12-15,12,tik-599,,,
tik-600,2,Digital Video Recorder 16 Channerl CCTV,1,1,1,3,1,Digital Video Recorder 16 Channerl CCTV,1,2,1,2017-12-15,12,tik-600,,,
tik-601,2,UPS untuk DVR CCTV,1,1,1,3,1,UPS untuk DVR CCTV,1,2,1,2017-12-15,12,tik-601,,,
tik-602,2,UPS untuk DVR CCTV,1,1,1,3,1,UPS untuk DVR CCTV,1,2,1,2017-12-15,12,tik-602,,,
tik-603,2,UPS Type Lexos UPS AS 950,1,1,1,3,1,UPS Type Lexos UPS AS 950,1,2,1,2022-12-21,12,tik-603,,,
tik-604,2,Switcher Video /Feelword Livepro L1 V1 Multicamera,1,1,1,3,1,Switcher Video /Feelword Livepro L1 V1 Multicamera,1,2,1,2021-12-24,12,tik-604,,,
tik-605,2,KAMERA DRONE TYPE MAVIC 2 ZOOM,32,1,1,3,1,KAMERA DRONE TYPE MAVIC 2 ZOOM,1,2,1,2020-12-18,12,tik-605,,,
tik-606,2,SONY Mirrorless Digital Camera A7II+Lensa FE55mm,32,1,1,3,1,SONY Mirrorless Digital Camera A7II+Lensa FE55mm,1,2,1,2017-10-09,12,tik-606,,,
tik-607,2,CANON EOS 6D Kit3,32,1,1,3,1,CANON EOS 6D Kit3,1,2,1,2017-10-09,12,tik-607,,,
tik-608,2,Canon Power Shot  SX620 HS,32,1,1,3,1,Canon Power Shot  SX620 HS,1,2,1,2017-11-17,12,tik-608,,,
tik-609,2,Drone Merk DJI Mavic 2 Pro (EU),32,1,1,3,1,Drone Merk DJI Mavic 2 Pro (EU),1,2,1,2019-03-28,12,tik-609,,,
tik-610,2,KAMERA DIGITAL MIRROLESS ALPHA a7 III B (ILCE-7M3),32,1,1,3,1,KAMERA DIGITAL MIRROLESS ALPHA a7 III B (ILCE-7M3),1,2,1,2019-11-21,12,tik-610,,,
tik-611,2,CAMERA SONY DIGITAL A6000/ HIBAH STED,32,1,1,3,1,CAMERA SONY DIGITAL A6000/ HIBAH STED,1,2,1,2023-12-29,12,tik-611,,,
tik-612,2,CANON EOS R8 BODY ONLY MIRRORLESS CAMERA,32,1,1,3,1,CANON EOS R8 BODY ONLY MIRRORLESS CAMERA,1,2,1,2024-11-25,12,tik-612,,,
tik-613,2,CANON EOS R7 WITH LENS RF-S 18- 150 STM / Humas,32,1,1,3,1,CANON EOS R7 WITH LENS RF-S 18- 150 STM / Humas,1,2,1,2024-11-25,12,tik-613,,,
tik-614,2,HP LED MONITOR PRO DISPLAY P232/ HIBAH STED,10,1,1,3,1,HP LED MONITOR PRO DISPLAY P232/ HIBAH STED,1,2,1,2023-12-29,12,tik-614,,,
tik-615,2,"MONITOR LED LG 32MP58HQ-P 31.5"" / HIBAH STED",10,1,1,3,1,"MONITOR LED LG 32MP58HQ-P 31.5"" / HIBAH STED",1,2,1,2023-12-29,12,tik-615,,,
tik-616,2,IWARE TM17A MONITOR LED TOUCHSCREEN CAPACITIVE 17  INCH,1,1,1,3,1,IWARE TM17A MONITOR LED TOUCHSCREEN CAPACITIVE 17  INCH,1,2,1,2024-12-05,12,tik-616,,,
tik-617,2,IWARE TM17A MONITOR LED TOUCHSCREEN CAPACITIVE 17  INCH,1,1,1,3,1,IWARE TM17A MONITOR LED TOUCHSCREEN CAPACITIVE 17  INCH,1,2,1,2024-12-05,12,tik-617,,,
tik-618,2,Kamera Zoom Meeting/ Logitech Rally Camera,32,1,1,3,1,Kamera Zoom Meeting/ Logitech Rally Camera,1,2,1,2021-12-24,12,tik-618,,,
tik-619,2,"LED DISPLAY UK.4,8X2,72m, PTZ CAMERA,SOUND SISTEM",1,1,1,3,1,"LED DISPLAY UK.4,8X2,72m, PTZ CAMERA,SOUND SISTEM",1,2,1,2021-07-01,12,tik-619,,,
tik-620,2,PABX UPS dengan jaringan 24 titik,1,1,1,3,1,PABX UPS dengan jaringan 24 titik,1,2,1,2016-12-27,12,tik-620,,,
tik-621,2,Telepon System PABX Tambora,1,1,1,3,1,Telepon System PABX Tambora,1,2,1,2018-11-23,12,tik-621,,,
tik-622,2,Samsung Galaxy Note 8,33,1,1,3,1,Samsung Galaxy Note 8,1,2,1,2017-11-13,12,tik-622,,,
tik-623,2,Samsung Galaxy Note 8,33,1,1,3,1,Samsung Galaxy Note 8,1,2,1,2017-11-13,12,tik-623,,,
tik-624,2,Samsung Galaxy Note 8,33,1,1,3,1,Samsung Galaxy Note 8,1,2,1,2017-11-13,12,tik-624,,,
